Country,Year,Month,Day of Week,Time of Day,Urban/Rural,Road Type,Weather Conditions,Visibility Level,Number of Vehicles Involved,Speed Limit,Driver Age Group,Driver Gender,Driver Alcohol Level,Driver Fatigue,Vehicle Condition,Pedestrians Involved,Cyclists Involved,Accident Severity,Number of Injuries,Number of Fatalities,Emergency Response Time,Traffic Volume,Road Condition,Accident Cause,Insurance Claims,Medical Cost,Economic Loss,Region,Population Density
Australia,2024,March,Wednesday,Evening,Rural,Street,Windy,294.595339494356,3,82,18-25,Male,0.12072380092925,1,Poor,0,1,Severe,0,1,52.6630805309583,2029.61097028538,Snow-covered,Distracted Driving,9,39264.9365197415,92141.2522836393,Australia,4663.70765302391
Australia,2024,January,Wednesday,Afternoon,Rural,Street,Windy,418.682304575769,4,55,<18,Male,0.0103511996981212,0,Moderate,0,1,Severe,3,4,41.9031855624387,2120.91269092245,Dry,Drunk Driving,2,20681.8484822143,77749.8989360528,Asia,4423.78300755957
Australia,2024,May,Wednesday,Evening,Urban,Main Road,Windy,376.647915514013,1,32,61+,Female,0.11366580060942,1,Poor,1,1,Minor,2,1,8.55145879537721,6232.79751300339,Wet,Weather,3,16713.2812526338,14309.2680684332,South America,4931.33470864298
Australia,2024,May,Wednesday,Night,Urban,Main Road,Windy,140.728948589449,4,62,26-40,Female,0.0509035599453236,1,Moderate,1,1,Minor,0,0,14.4235308296103,5307.87917607429,Icy,Mechanical Failure,6,9877.35548915915,61399.4564670103,Europe,3392.34953638245
Australia,2024,January,Wednesday,Night,Rural,Main Road,Windy,54.6888993561927,4,89,61+,Female,0.067109641751997,0,Moderate,1,2,Severe,18,1,31.2520484965348,2127.65375587087,Icy,Mechanical Failure,9,28836.5222435494,70071.0082342101,Australia,4157.59399770239
Australia,2024,April,Wednesday,Morning,Rural,Highway,Windy,203.759854912069,2,67,41-60,Male,0.123028085854599,1,Poor,2,2,Severe,19,3,13.7486183878531,5347.19195584943,Dry,Distracted Driving,5,28564.7766108451,92468.4562386986,Europe,3583.99036467017
Australia,2024,January,Wednesday,Night,Urban,Highway,Windy,62.4526774036933,4,74,61+,Male,0.119340374852503,0,Moderate,1,1,Minor,1,1,53.8354110697511,400.810862338046,Icy,Weather,0,2620.60087346088,32235.1012219316,South America,3118.18894467004
Australia,2024,June,Wednesday,Night,Rural,Highway,Windy,112.49104398742,3,75,<18,Male,0.230631295105006,1,Good,2,1,Minor,12,3,27.3031531927213,5885.87609116677,Snow-covered,Weather,6,28603.2029227079,49763.4806524893,South America,4739.2744884282
Australia,2024,January,Wednesday,Morning,Rural,Highway,Windy,113.037003679117,3,110,41-60,Male,0.163927278751397,0,Good,1,0,Moderate,5,3,22.9156796320159,3944.12111504525,Icy,Weather,6,18969.5610660019,96963.4471707368,North America,3017.47801329121
Australia,2024,September,Wednesday,Morning,Urban,Street,Windy,180.296207125396,2,118,61+,Male,0.149968578842216,1,Good,1,1,Minor,5,1,43.698880048287,2719.01962157629,Snow-covered,Mechanical Failure,7,26922.2331546465,51763.5688406859,South America,2582.40501907515
Australia,2024,February,Wednesday,Morning,Rural,Street,Windy,406.545460082809,3,34,18-25,Male,0.115412079762212,0,Good,0,2,Severe,0,2,25.6347172840835,4893.50679266543,Wet,Speeding,9,8673.31226840475,17147.7519733994,Europe,3420.52255386513
Australia,2024,August,Wednesday,Evening,Urban,Highway,Windy,388.072665880456,2,43,26-40,Male,0.195925573575394,0,Poor,1,1,Moderate,19,3,56.33403371472,9755.96394939347,Dry,Distracted Driving,5,29969.0859329624,51555.1655259752,Europe,3866.96777851685
Australia,2024,September,Wednesday,Evening,Urban,Highway,Windy,334.605571884413,3,62,61+,Female,0.0714125818445359,0,Poor,1,1,Moderate,13,0,38.0895679640568,8591.4668566573,Dry,Speeding,3,19108.0207265507,5423.19000709603,South America,2241.82743750358
Australia,2024,February,Wednesday,Afternoon,Urban,Main Road,Windy,389.591570563314,1,41,61+,Female,0.229001537175667,1,Poor,1,2,Moderate,12,1,22.2012068147559,8029.41901019602,Snow-covered,Mechanical Failure,5,14062.5794749887,75364.0684945827,North America,1559.24961940142
Australia,2024,October,Wednesday,Evening,Rural,Street,Windy,148.693802116113,3,31,26-40,Male,0.147338148556823,0,Good,0,1,Minor,10,2,15.5811461444302,6823.01570824593,Snow-covered,Distracted Driving,0,20414.3676708496,53523.0649949783,Asia,3093.60886267378
Australia,2024,January,Wednesday,Afternoon,Urban,Street,Windy,143.940528787242,,65,26-40,Female,0.18347445869151,1,Poor,2,0,Minor,7,2,44.2959509767101,9951.64313446207,Wet,Distracted Driving,2,8128.04768939367,8591.5780919212,Asia,3410.73122888142
Australia,2024,September,Wednesday,Morning,Rural,Highway,Windy,307.56391035675,1,85,<18,Male,0.241491867905152,1,Poor,2,2,Minor,9,1,25.0520852849342,7924.19918275054,Dry,Weather,2,46408.69204149,7189.6528817817,South America,3664.64821553553
Australia,2024,April,Wednesday,Night,Rural,Street,Snowy,237.775893092313,2,112,41-60,Male,,0,Good,0,1,Moderate,3,2,16.5630998396539,9379.08266032253,Dry,Weather,5,22319.2777958969,77195.7606933438,Europe,4759.69175126855
Australia,2024,September,Wednesday,Morning,Urban,Street,Snowy,181.579711256553,,99,18-25,Male,0.0213784982336014,0,Good,,1,Moderate,6,3,20.7769756190131,1835.31223649944,Wet,Drunk Driving,5,36399.1506060182,89912.000428122,Europe,2780.06504570527
Australia,2024,June,Wednesday,Evening,Rural,Highway,Snowy,231.281119412395,1,35,<18,Female,0.223563457547864,0,Good,2,1,Moderate,15,1,16.4462268663809,5228.89787900855,Icy,Mechanical Failure,4,40855.7990450815,49107.5741838939,Asia,218.875699846165
Australia,2024,September,Wednesday,Morning,Rural,Highway,Snowy,185.628884455056,4,118,26-40,Male,0.208414889885858,0,Poor,0,0,Moderate,2,3,53.2370313123583,9943.25598722973,Snow-covered,Speeding,2,40957.6939539069,67197.1447428798,Australia,4015.90914869355
Australia,2024,April,Wednesday,Afternoon,Urban,Highway,Snowy,262.428013522955,2,111,41-60,Female,0.237251100565027,0,Good,2,0,Severe,1,2,48.7530962297285,7045.14025213365,Dry,Weather,1,17491.051762303,18414.6204878238,Australia,4858.31432682939
Australia,2024,May,Wednesday,Afternoon,Urban,Highway,Snowy,294.545102730074,2,46,61+,Male,0.21037371572443,0,Good,0,2,Severe,8,0,22.6840912065278,977.374577558484,Icy,Speeding,0,3343.57085119378,59351.393999963,Europe,2369.86452129688
Australia,2024,August,Wednesday,Night,Rural,Street,Snowy,193.973160082124,2,35,26-40,Female,0.0920622948383631,1,Good,2,0,Minor,4,2,54.4843735946885,9253.68893009498,Wet,Weather,7,1139.19807185634,63229.02867466,Australia,3315.2013436661
Australia,2024,May,Wednesday,Morning,Urban,Highway,Snowy,154.352715100412,1,75,26-40,Male,0.0642447653064242,0,Poor,1,1,Moderate,10,2,59.9187141897903,4552.37496041856,Dry,Drunk Driving,5,15459.8610302263,33164.9041455629,South America,3551.59419599571
Australia,2024,July,Wednesday,Evening,Urban,Main Road,Snowy,325.27556014814,2,69,18-25,Male,0.111019167541422,1,Poor,0,0,Severe,8,4,30.03123699114,5835.85062702895,Icy,Drunk Driving,3,18894.4881861093,44888.2864977426,Europe,1414.36561111427
Australia,2024,July,Wednesday,Evening,Rural,Street,Snowy,341.207957688562,4,73,61+,Male,0.200255790936963,1,Good,1,2,Minor,11,4,42.9958054564345,896.242202976468,Icy,Drunk Driving,5,16924.5904283743,1252.20306331956,Asia,850.213411811575
Australia,2024,February,Wednesday,Afternoon,Urban,Main Road,Snowy,73.3971726260127,4,52,<18,Female,0.172122739512837,0,Moderate,1,1,Severe,8,4,38.0143088741769,9607.47542018592,Wet,Speeding,3,43138.0223014376,39315.5748903672,North America,2924.30362742855
Australia,2024,September,Wednesday,Evening,Rural,Street,Snowy,339.065636104845,2,118,18-25,Female,0.220749412130074,0,Moderate,1,1,Severe,3,2,37.2444310591815,1624.5372661152,Wet,Distracted Driving,8,3496.92426097639,48950.145316734,Asia,3108.20839080129
Australia,2024,November,Wednesday,Morning,Rural,Street,Snowy,194.126076942731,1,69,61+,Male,0.208697849696716,0,Good,1,0,Severe,3,0,22.3372576082301,4833.166829667,Snow-covered,Speeding,1,8799.67703757141,92581.425395605,Asia,3163.4646946782
Australia,2024,May,Wednesday,Evening,Urban,Main Road,Snowy,427.132851450134,1,44,26-40,Male,0.191245069741583,1,Poor,1,1,Moderate,13,4,33.4697165362716,5350.19333026023,Wet,Mechanical Failure,3,40575.345422863,99190.4789602101,Europe,1074.73367710756
Australia,2024,August,Wednesday,Afternoon,Urban,Highway,Snowy,417.158269492698,3,62,41-60,Female,0.249107299640773,0,Good,1,1,Severe,0,2,14.6973533944382,8617.49909607563,Icy,Mechanical Failure,4,1756.19080107522,1653.14836073932,Europe,1906.45868949569
Australia,2024,January,Wednesday,Night,Rural,Street,Rainy,287.674060691078,4,37,<18,Female,0.149870118541078,,Moderate,1,2,Moderate,17,2,22.8509543300275,2385.39195043261,Snow-covered,Drunk Driving,6,15789.5426893585,69540.2886371263,Australia,3319.21897735499
